val: 1, bal: 7, ticket is: 100
val: 3, bal: 7, ticket is: 100
val: 5, bal: 7, ticket is: 100
val: 7, bal: 7, ticket is: 100
val: 1, bal: 2, ticket is: 100
val: 3, bal: 2, ticket is: 100
val: 5, bal: 2, ticket is: 100
val: 7, bal: 2, ticket is: 100
val: 9, bal: 2, ticket is: 100
val: 1, bal: 4, ticket is: 99
val: 3, bal: 4, ticket is: 96
val: 5, bal: 4, ticket is: 91
val: 7, bal: 4, ticket is: 84
val: 9, bal: 4, ticket is: 75
val: 1, bal: 5, ticket is: 99
val: 3, bal: 5, ticket is: 96
val: 5, bal: 5, ticket is: 91
val: 7, bal: 5, ticket is: 84
val: 9, bal: 5, ticket is: 75
val: 1, bal: 4, ticket is: 99
val: 1, bal: 8, ticket is: 99
val: 3, bal: 8, ticket is: 96
val: 5, bal: 8, ticket is: 91
val: 7, bal: 8, ticket is: 84
val: 9, bal: 8, ticket is: 75
val: 1, bal: 7, ticket is: 99
val: 3, bal: 7, ticket is: 96
val: 5, bal: 7, ticket is: 91
val: 7, bal: 7, ticket is: 84
val: 9, bal: 7, ticket is: 75
val: 1, bal: 5, ticket is: 99
val: 1, bal: 5, ticket is: 99
val: 1, bal: 9, ticket is: 99
val: 1, bal: 10, ticket is: 99
val: 1, bal: 2, ticket is: 99
val: 1, bal: 2, ticket is: 99
val: 1, bal: 1, ticket is: 99
val: 1, bal: 1, ticket is: 99
val: 3, bal: 1, ticket is: 96
val: 5, bal: 1, ticket is: 91
val: 1, bal: 9, ticket is: 99
val: 3, bal: 9, ticket is: 96
val: 5, bal: 9, ticket is: 91
val: 7, bal: 9, ticket is: 84
val: 9, bal: 9, ticket is: 75
val: 1, bal: 10, ticket is: 99
val: 3, bal: 10, ticket is: 96
val: 5, bal: 10, ticket is: 91
val: 1, bal: 3, ticket is: 99
val: 1, bal: 3, ticket is: 98
val: 3, bal: 3, ticket is: 95
val: 3, bal: 3, ticket is: 92
val: 5, bal: 3, ticket is: 87
val: 7, bal: 3, ticket is: 80
val: 5, bal: 3, ticket is: 75
val: 7, bal: 3, ticket is: 68
val: 9, bal: 3, ticket is: 59
val: 9, bal: 3, ticket is: 50
val: 1, bal: 3, ticket is: 99
val: 1, bal: 3, ticket is: 98
val: 5, bal: 3, ticket is: 93
val: 7, bal: 3, ticket is: 86
val: 9, bal: 3, ticket is: 77
val: 1, bal: 9, ticket is: 99
val: 3, bal: 9, ticket is: 96
val: 5, bal: 9, ticket is: 91
val: 7, bal: 9, ticket is: 84
val: 9, bal: 9, ticket is: 75
val: 1, bal: 1, ticket is: 99
val: 3, bal: 1, ticket is: 96
val: 5, bal: 1, ticket is: 91
val: 7, bal: 1, ticket is: 84
val: 9, bal: 1, ticket is: 75
val: 1, bal: 1, ticket is: 99
val: 3, bal: 1, ticket is: 96
val: 5, bal: 1, ticket is: 91
val: 7, bal: 1, ticket is: 84
val: 9, bal: 1, ticket is: 75
val: 1, bal: 4, ticket is: 99
val: 3, bal: 4, ticket is: 96
val: 5, bal: 4, ticket is: 91
val: 7, bal: 4, ticket is: 84
val: 9, bal: 4, ticket is: 75
val: 1, bal: 9, ticket is: 99
val: 3, bal: 9, ticket is: 96
val: 5, bal: 9, ticket is: 91
val: 7, bal: 9, ticket is: 84
val: 9, bal: 9, ticket is: 75
val: 1, bal: 8, ticket is: 99
val: 3, bal: 8, ticket is: 96
val: 5, bal: 8, ticket is: 91
val: 7, bal: 8, ticket is: 84
val: 9, bal: 8, ticket is: 75
val: 1, bal: 10, ticket is: 74
val: 3, bal: 10, ticket is: 71
val: 5, bal: 10, ticket is: 66
val: 1, bal: 10, ticket is: 99
val: 3, bal: 10, ticket is: 96
val: 5, bal: 10, ticket is: 91
val: 7, bal: 10, ticket is: 84
val: 9, bal: 10, ticket is: 75
val: 1, bal: 19, ticket is: 74
val: 3, bal: 19, ticket is: 71
val: 5, bal: 19, ticket is: 66
val: 1, bal: 2, ticket is: 99
val: 3, bal: 2, ticket is: 96
val: 5, bal: 2, ticket is: 91
val: 7, bal: 2, ticket is: 84
val: 9, bal: 2, ticket is: 75
val: 1, bal: 2, ticket is: 99
val: 3, bal: 2, ticket is: 96
val: 5, bal: 2, ticket is: 91
val: 7, bal: 2, ticket is: 84
val: 9, bal: 2, ticket is: 75
val: 1, bal: 10, ticket is: 99
val: 3, bal: 10, ticket is: 96
val: 5, bal: 10, ticket is: 91
val: 7, bal: 10, ticket is: 84
val: 9, bal: 10, ticket is: 75
val: 1, bal: 16, ticket is: 74
val: 3, bal: 16, ticket is: 71
val: 1, bal: 5, ticket is: 99
val: 3, bal: 5, ticket is: 96
val: 5, bal: 5, ticket is: 91
val: 7, bal: 5, ticket is: 84
val: 9, bal: 5, ticket is: 75
val: 1, bal: 9, ticket is: 99
val: 3, bal: 9, ticket is: 96
val: 5, bal: 9, ticket is: 91
val: 7, bal: 9, ticket is: 84
val: 9, bal: 9, ticket is: 75
val: 1, bal: 4, ticket is: 99
val: 3, bal: 4, ticket is: 96
val: 5, bal: 4, ticket is: 91
val: 7, bal: 4, ticket is: 84
val: 9, bal: 4, ticket is: 75
val: 1, bal: 1, ticket is: 99
val: 3, bal: 1, ticket is: 96
val: 5, bal: 1, ticket is: 91
val: 7, bal: 1, ticket is: 84
val: 9, bal: 1, ticket is: 75
val: 1, bal: 5, ticket is: 99
